Search keyword report
"July 1, 2025 - December 30, 2025"
Keyword status,Keyword,Match type,Status,Status reasons,Conv. value,Conv. value / cost,Final URL,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.,Original conv. value
Enabled,laundry services near me,Broad match,Limited,low quality,3.00,0.02,,35,536,6.53%,AED,3.72,130.09,8.57%,3.00,43.36, --
Enabled,Professional dry cleaners,Broad match,Eligible,,3.00,0.13,,7,230,3.04%,AED,3.22,22.52,42.86%,3.00,7.51, --
Enabled,Car Seat Cleaning,Broad match,Limited,low quality,8.00,0.05,,25,521,4.80%,AED,6.88,171.93,32.00%,8.00,21.49, --
Enabled,Best Dry cleaners near me,Broad match,Eligible,,1.00,0.01,,29,443,6.55%,AED,3.63,105.29,3.45%,1.00,105.29, --
Enabled,Best laundry in Dubai,Broad match,Eligible,,2.00,0.02,,30,513,5.85%,AED,4.37,131.06,6.67%,2.00,65.53, --
Enabled,Party dress cleaning,Broad match,Not eligible,rarely served,0.00,0.00,,0,3,0.00%,AED,0,0.00,0.00%,0.00,0.00, --
 --,,Total: All but removed keywords, --,,759.03,0.04,,"4,934","55,208",8.94%,AED,4.13,20391.56,11.25%,555.14,36.73, --
,,Total: Keywords in your ad group,,,897.07,0.04,,"6,201","87,295",7.10%,AED,4.09,25335.17,10.92%,677.14,37.42, --
,,Total: Your keywords,,,888.07,0.04,,"5,775","67,241",8.59%,AED,4.31,24906.39,11.57%,668.14,37.28, --
,,Total: AI Max expanded matches,,,0.00,0.00,,0,5,0.00%,AED,0,0.00,0.00%,0.00,0.00, --
,,Total: AI Max landing page matches,,,143.36,0.04,,"1,134","15,789",7.18%,AED,2.90,3285.69,11.64%,132.00,24.89, --
,,Total: URL inclusions in your ad group,,,0.00,0.00,,0,0, --,AED,0,0.00,0.00%,0.00,0.00, --
,,Total: Search keywords on display network,,,9.00,0.02,,426,"20,049",2.12%,AED,1.01,428.78,2.11%,9.00,47.64,9.00
,,Total: Ad group,,,"1,040.43",0.04,,"7,335","103,084",7.12%,AED,3.90,28620.86,11.03%,809.14,35.37,"1,040.43"
